Latitude_dd,Longitude_dd,normalized_pressure,phaseNb,Diagnostic
-20.969625,-68.69594,2629.0527369531715,1.0,2. PLEIN (Normal)
-20.96912,-68.696521667,2630.273695007764,1.0,2. PLEIN (Normal)
-20.968458333,-68.697275,2630.6654865965456,1.0,2. PLEIN (Normal)
-20.966795,-68.698861667,2630.868035549132,1.0,2. PLEIN (Normal)
-20.966023333,-68.69954,2630.4849846246398,1.0,2. PLEIN (Normal)
-20.965536667,-68.69996,2629.264710190927,1.0,2. PLEIN (Normal)
-20.964916667,-68.700551667,2628.0656462658294,1.0,2. PLEIN (Normal)
-20.964356667,-68.701285,2628.6026679682154,1.0,2. PLEIN (Normal)
-20.964061667,-68.702136667,2629.1380896921073,1.0,2. PLEIN (Normal)
-20.963773333,-68.702993333,2629.8904816090635,1.0,2. PLEIN (Normal)
-20.96349,-68.703811667,2630.7789498395905,1.0,2. PLEIN (Normal)
-20.963266667,-68.704716667,2631.4681052624132,1.0,2. PLEIN (Normal)
-20.962993333,-68.705728333,2631.4305077978465,1.0,2. PLEIN (Normal)
-20.962811667,-68.708263333,2631.3930526892827,1.0,2. PLEIN (Normal)
-20.962686667,-68.710368333,2631.521643578911,1.0,2. PLEIN (Normal)
-20.961683333,-68.7106,2631.6872913147463,1.0,2. PLEIN (Normal)
-20.960731667,-68.709631667,2632.2373612625524,1.0,2. PLEIN (Normal)
-20.960015,-68.70928,2633.3293582805845,1.0,2. PLEIN (Normal)
-20.95979,-68.708713333,2634.3319236268208,1.0,2. PLEIN (Normal)
-20.960023333,-68.70838,2629.5242649221746,1.0,2. PLEIN (Normal)
-20.959828333,-68.708358333,2624.721252374665,1.0,2. PLEIN (Normal)
-20.959828333,-68.708358333,2617.8700766473066,1.0,2. PLEIN (Normal)
-20.959828333,-68.708358333,2609.7359558787643,1.0,2. PLEIN (Normal)
-20.960615,-68.708821667,2603.5663852200364,2.0,2. PLEIN (Normal)
-20.962126667,-68.71024,2604.583760391755,2.0,2. PLEIN (Normal)
-20.96292,-68.711945,2605.602803132738,2.0,2. PLEIN (Normal)
-20.964386667,-68.713948333,2605.2902289048757,2.0,2. PLEIN (Normal)
-20.9667,-68.715013333,2604.680487089072,2.0,2. PLEIN (Normal)
-20.96797,-68.715128333,2604.333088620325,2.0,2. PLEIN (Normal)
-20.965955,-68.71385,2604.3542831575296,2.0,2. PLEIN (Normal)
-20.96484,-68.71137,2604.3634210618357,2.0,2. PLEIN (Normal)
-20.964668333,-68.708481667,2603.6513664404183,2.0,2. PLEIN (Normal)
-20.965355,-68.70989,2602.9382863710143,2.0,2. PLEIN (Normal)
-20.966528333,-68.712075,2602.8538991161677,2.0,2. PLEIN (Normal)
-20.968293333,-68.713011667,2603.159285121344,2.0,2. PLEIN (Normal)
-20.970685,-68.71319,2603.3766988945426,2.0,2. PLEIN (Normal)
-20.973106667,-68.71285,2603.274822175302,2.0,2. PLEIN (Normal)
-20.975148333,-68.712058333,2603.173148917037,2.0,2. PLEIN (Normal)
-20.975635,-68.710485,2603.569998535085,2.0,2. PLEIN (Normal)
-20.974741667,-68.711358333,2604.0785072500285,2.0,2. PLEIN (Normal)
-20.973225,-68.711543333,2604.6295961732503,2.0,2. PLEIN (Normal)
-20.971126667,-68.711731667,2605.238903268323,2.0,2. PLEIN (Normal)
-20.970863333,-68.711846667,2605.934160196625,2.0,2. PLEIN (Normal)
-20.970923333,-68.711988333,2611.323274248417,2.0,2. PLEIN (Normal)
-20.970923333,-68.711988333,2616.7233873862333,2.0,2. PLEIN (Normal)
-20.970923333,-68.711988333,2620.7077258087347,2.0,2. PLEIN (Normal)
-20.970923333,-68.711988333,2623.838527280128,2.0,2. PLEIN (Normal)
-20.970923333,-68.711988333,2626.9453121108886,2.0,2. PLEIN (Normal)
-20.971025,-68.7114,2629.9918248738345,3.0,2. PLEIN (Normal)
-20.972103333,-68.711361667,2633.047000829714,3.0,2. PLEIN (Normal)
-20.973658333,-68.711323333,2632.5519050522726,3.0,2. PLEIN (Normal)
-20.975098333,-68.71082,2631.2576234613025,3.0,2. PLEIN (Normal)
-20.975915,-68.71033,2630.6459213159555,3.0,2. PLEIN (Normal)
-20.975633333,-68.711428333,2630.9994762676515,3.0,2. PLEIN (Normal)
-20.975413333,-68.712145,2631.3214705817404,3.0,2. PLEIN (Normal)
-20.974606667,-68.712631667,2629.282312284391,3.0,2. PLEIN (Normal)
-20.973811667,-68.712751667,2627.5778504931786,3.0,2. PLEIN (Normal)
-20.973105,-68.712986667,2627.927635971432,3.0,2. PLEIN (Normal)
-20.972408333,-68.713068333,2628.7399417594484,3.0,2. PLEIN (Normal)
-20.971556667,-68.713153333,2629.246857799802,3.0,2. PLEIN (Normal)
-20.970808333,-68.713256667,2629.322217846991,3.0,2. PLEIN (Normal)
-20.971501667,-68.713608333,2629.40132514169,3.0,2. PLEIN (Normal)
-20.972465,-68.713673333,2629.733079100652,3.0,2. PLEIN (Normal)
-20.973613333,-68.71384,2630.1656742730897,3.0,2. PLEIN (Normal)
-20.974651667,-68.713945,2627.7493411142887,3.0,2. PLEIN (Normal)
-20.976556667,-68.713476667,2631.074560333187,3.0,2. PLEIN (Normal)
-20.976825,-68.714,2634.5589340621796,3.0,2. PLEIN (Normal)
-20.975971667,-68.714608333,2632.7169700815075,3.0,2. PLEIN (Normal)
-20.97517,-68.714838333,2630.8874518127777,3.0,2. PLEIN (Normal)
-20.974456667,-68.71499,2630.5693298874517,3.0,2. PLEIN (Normal)
-20.973571667,-68.71514,2631.178608032017,3.0,2. PLEIN (Normal)
-20.972676667,-68.715201667,2631.7888379145884,3.0,2. PLEIN (Normal)
-20.971941667,-68.715341667,2632.398750549075,3.0,2. PLEIN (Normal)
-20.971266667,-68.715625,2633.010029770511,3.0,2. PLEIN (Normal)
-20.970448333,-68.715995,2632.6188930630096,3.0,2. PLEIN (Normal)
-20.96953,-68.716166667,2632.0118112157743,3.0,2. PLEIN (Normal)
-20.968635,-68.71578,2631.572369308603,3.0,2. PLEIN (Normal)
-20.968903333,-68.716375,2631.3727891420413,3.0,2. PLEIN (Normal)
-20.969663333,-68.716731667,2631.172738277307,3.0,2. PLEIN (Normal)
-20.97039,-68.716886667,2630.9731354594246,3.0,2. PLEIN (Normal)
-20.971021667,-68.717573333,2630.7733655908337,3.0,2. PLEIN (Normal)
-20.971055,-68.71851,2630.9442726854854,3.0,2. PLEIN (Normal)
-20.970906667,-68.71936,2631.3433633466507,3.0,2. PLEIN (Normal)
-20.97087,-68.720331667,2632.00290029024,3.0,2. PLEIN (Normal)
-20.970708333,-68.721503333,2633.6046605232855,3.0,2. PLEIN (Normal)
-20.970648333,-68.722506667,2635.203338744963,3.0,2. PLEIN (Normal)
-20.971076667,-68.7236,2634.413353496918,3.0,2. PLEIN (Normal)
-20.971156667,-68.725018333,2633.0941590714338,3.0,2. PLEIN (Normal)
-20.971463333,-68.726361667,2632.535692800624,3.0,2. PLEIN (Normal)
-20.971528333,-68.727321667,2633.043339511195,3.0,2. PLEIN (Normal)
-20.97166,-68.728155,2633.5338309185818,3.0,2. PLEIN (Normal)
-20.971896667,-68.729073333,2633.026021593248,3.0,2. PLEIN (Normal)
-20.972178333,-68.730071667,2632.5177854191256,3.0,2. PLEIN (Normal)
-20.972706667,-68.731385,2632.9517293500494,3.0,2. PLEIN (Normal)
-20.972653333,-68.732201667,2633.967063431387,3.0,2. PLEIN (Normal)
-20.97259,-68.733398333,2634.5866952838674,3.0,2. PLEIN (Normal)
-20.972685,-68.7346,2633.771533570743,3.0,2. PLEIN (Normal)
-20.972796667,-68.73533,2632.95942891315,3.0,2. PLEIN (Normal)
-20.972998333,-68.736223333,2632.894360700001,3.0,2. PLEIN (Normal)
-20.973193333,-68.737026667,2632.9959672829564,3.0,2. PLEIN (Normal)
-20.973385,-68.737798333,2632.5907442639473,3.0,2. PLEIN (Normal)
-20.973846667,-68.738726667,2631.472088069336,3.0,2. PLEIN (Normal)
-20.974438333,-68.737933333,2630.4090443384225,3.0,2. PLEIN (Normal)
-20.975143333,-68.736475,2632.4401190197896,3.0,2. PLEIN (Normal)
-20.97645,-68.735906667,2634.474445913134,3.0,2. PLEIN (Normal)
-20.97743,-68.735416667,2631.001674913833,3.0,2. PLEIN (Normal)
-20.977471667,-68.735413333,2624.0761175164967,3.0,2. PLEIN (Normal)
-20.977471667,-68.735413333,2617.4331756020615,3.0,2. PLEIN (Normal)
-20.977471667,-68.735413333,2611.727954223718,3.0,2. PLEIN (Normal)
-20.977528333,-68.735578333,2606.046181099956,4.0,2. PLEIN (Normal)
-20.977035,-68.736178333,2606.8358619234104,4.0,2. PLEIN (Normal)
-20.97573,-68.736608333,2609.0642307640373,4.0,2. PLEIN (Normal)
-20.975395,-68.736985,2610.1597435660274,4.0,2. PLEIN (Normal)
-20.975395,-68.736985,2609.6514057570284,4.0,2. PLEIN (Normal)
-20.975395,-68.736985,2609.1478062729802,4.0,2. PLEIN (Normal)
-20.975395,-68.736985,2608.92250448619,4.0,2. PLEIN (Normal)
-20.975223333,-68.737263333,2608.6969968624835,4.0,2. PLEIN (Normal)
-20.97471,-68.738088333,2609.4351129617694,4.0,2. PLEIN (Normal)
-20.973826667,-68.739031667,2610.781623136747,4.0,2. PLEIN (Normal)
-20.972948333,-68.737706667,2612.096785209034,4.0,2. PLEIN (Normal)
-20.972431667,-68.735365,2613.3194302192305,4.0,2. PLEIN (Normal)
-20.972271667,-68.732923333,2614.537343281916,4.0,2. PLEIN (Normal)
-20.972253333,-68.73063,2612.7648177897454,4.0,2. PLEIN (Normal)
-20.971438333,-68.728263333,2610.339528763744,4.0,2. PLEIN (Normal)
-20.97103,-68.725843333,2608.5709221608854,4.0,2. PLEIN (Normal)
-20.970285,-68.724108333,2607.754296955493,4.0,2. PLEIN (Normal)
-20.969138333,-68.725326667,2606.9267281403645,4.0,2. PLEIN (Normal)
-20.967238333,-68.726501667,2605.500422781208,4.0,2. PLEIN (Normal)
-20.966506667,-68.724645,2604.077475327642,4.0,2. PLEIN (Normal)
-20.96709,-68.722441667,2602.8639334486897,4.0,2. PLEIN (Normal)
-20.965341667,-68.721158333,2601.76561820972,4.0,2. PLEIN (Normal)
-20.963886667,-68.718945,2601.190491929392,4.0,2. PLEIN (Normal)
-20.963425,-68.71634,2602.4938324227614,4.0,2. PLEIN (Normal)
-20.96352,-68.714758333,2603.7969021232443,4.0,2. PLEIN (Normal)
-20.962135,-68.714296667,2603.629485258274,4.0,2. PLEIN (Normal)
-20.961098333,-68.713431667,2603.142311418321,4.0,2. PLEIN (Normal)
-20.960653333,-68.711435,2602.945279581434,4.0,2. PLEIN (Normal)
-20.95974,-68.710768333,2603.148079458311,4.0,2. PLEIN (Normal)
-20.958565,-68.710836667,2603.3676200263553,4.0,2. PLEIN (Normal)
-20.957703333,-68.709503333,2604.3851172173686,4.0,2. PLEIN (Normal)
-20.957248333,-68.708866667,2605.402004322319,4.0,2. PLEIN (Normal)
-20.957695,-68.708276667,2606.9172970909262,4.0,2. PLEIN (Normal)
-20.957776667,-68.708166667,2608.747620674508,4.0,2. PLEIN (Normal)
-20.957895,-68.707938333,2610.1369434010444,4.0,2. PLEIN (Normal)
-20.958331667,-68.70718,2609.932654920006,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2609.7295784730018,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2609.0912852832976,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2608.357079704038,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2607.847203929167,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2607.6440395471645,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2607.420718772343,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2606.1570920966064,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2604.8945936065634,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2604.616932130261,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2604.9427745825615,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2605.241763778504,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2605.445584864661,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2605.64829261898,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2605.2524339590896,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2604.7235928016808,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2604.4154198547685,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2604.4154198547685,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2604.4154198547685,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2604.4154198547685,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2604.4154198547685,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2604.290056371558,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2604.0868625836865,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2603.9280666699156,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2603.9280666699156,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2603.9280666699156,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2603.762228504183,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2603.5595951719547,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2603.6098250381274,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2604.0148642731774,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2604.417417985995,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2604.540188456307,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2604.66317095534,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2604.9600338062965,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2605.3678222548147,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2605.5986802562775,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2605.191574432818,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2604.784956198092,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2604.544005071985,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2604.3411997974226,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2604.392705643506,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2604.79808864401,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2605.214036959285,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2605.9454329291743,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2606.6794421315512,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2606.705384001431,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2606.298193407808,4.0,2. PLEIN (Normal)
-20.958565,-68.707178333,2606.069385497439,4.0,2. PLEIN (Normal)
-20.958823333,-68.70682,2606.4769988779935,4.0,2. PLEIN (Normal)
-20.958598333,-68.70666,2606.8830837266205,4.0,2. PLEIN (Normal)
-20.958103333,-68.707485,2606.6221116477227,4.0,2. PLEIN (Normal)
-20.958348333,-68.708473333,2606.216693497244,4.0,2. PLEIN (Normal)
-20.95937,-68.708568333,2605.980779550222,4.0,2. PLEIN (Normal)
-20.960338333,-68.708943333,2605.980779550222,4.0,2. PLEIN (Normal)
-20.96136,-68.709713333,2605.9699253637737,4.0,2. PLEIN (Normal)
-20.962545,-68.709958333,2605.3591394670957,4.0,2. PLEIN (Normal)
-20.962621667,-68.707256667,2604.748060879457,4.0,2. PLEIN (Normal)
-20.9629,-68.704725,2603.9632586528915,4.0,2. PLEIN (Normal)
-20.963741667,-68.702138333,2603.073565590417,4.0,2. PLEIN (Normal)
-20.965081667,-68.699915,2602.134853910972,4.0,2. PLEIN (Normal)
-20.967841667,-68.697513333,2600.8185331315162,4.0,2. PLEIN (Normal)
-20.96955,-68.695638333,2599.746386373683,4.0,2. PLEIN (Normal)
-20.972571667,-68.695055,2600.378865364335,4.0,2. PLEIN (Normal)
-20.97478,-68.694761667,2600.9094910854524,4.0,2. PLEIN (Normal)
-20.97676,-68.695968333,2600.5066686239675,4.0,2. PLEIN (Normal)
-20.978163333,-68.698035,2599.898138651815,4.0,2. PLEIN (Normal)
-20.978973333,-68.700516667,2599.625221880242,4.0,2. PLEIN (Normal)
-20.97913,-68.703596667,2599.8287898768544,4.0,2. PLEIN (Normal)
-20.978611667,-68.706326667,2600.020396699008,4.0,2. PLEIN (Normal)
-20.977865,-68.706813333,2599.4077385283103,4.0,2. PLEIN (Normal)
-20.978225,-68.704653333,2598.797205530314,4.0,2. PLEIN (Normal)
-20.977603333,-68.70195,2599.1415795663024,4.0,2. PLEIN (Normal)
-20.976303333,-68.70015,2600.0752034387706,4.0,2. PLEIN (Normal)
-20.974328333,-68.698666667,2600.9150333165844,4.0,2. PLEIN (Normal)
-20.972935,-68.699148333,2601.3226127029993,4.0,2. PLEIN (Normal)
-20.972411667,-68.699345,2601.7304201899733,4.0,2. PLEIN (Normal)
-20.971531667,-68.70029,2603.4642340317773,4.0,2. PLEIN (Normal)
-20.970526667,-68.701423333,2605.418069352145,4.0,2. PLEIN (Normal)
-20.969345,-68.702878333,2606.0210768304887,4.0,2. PLEIN (Normal)
-20.968548333,-68.704341667,2605.0030971307483,4.0,2. PLEIN (Normal)
-20.969446667,-68.703285,2604.0278497720833,4.0,2. PLEIN (Normal)
-20.97182,-68.701146667,2603.6610510696205,4.0,2. PLEIN (Normal)
-20.971865,-68.701225,2605.223336104455,4.0,2. PLEIN (Normal)
-20.971923333,-68.701196667,2608.8832216828205,4.0,2. PLEIN (Normal)
-20.971923333,-68.701196667,2612.594108561061,4.0,2. PLEIN (Normal)
-20.971923333,-68.701196667,2616.9513953811806,4.0,2. PLEIN (Normal)
-20.971883333,-68.701285,2621.303772028749,4.0,2. PLEIN (Normal)
-20.971216667,-68.702008333,2624.621628921467,5.0,2. PLEIN (Normal)
-20.970133333,-68.702831667,2627.3967903488874,5.0,2. PLEIN (Normal)
-20.969571667,-68.703455,2628.797210940779,5.0,2. PLEIN (Normal)
-20.968993333,-68.704091667,2626.1430469365414,5.0,2. PLEIN (Normal)
